report_id,generated_by,report_type,title,data_summary,generated_at,period_start,period_end,file_path
REP001,MGR001,Daily Traffic,Morning Rush Hour Analysis,Analysis of traffic patterns during morning rush hour,2025-06-06 10:00:00,2025-06-06 06:00:00,2025-06-06 09:00:00,/reports/daily/2025/06/06/morning_rush.pdf
REP002,MGR002,Incident,June 6 Incident Summary,Summary of all traffic incidents reported today,2025-06-06 12:00:00,2025-06-06 00:00:00,2025-06-06 12:00:00,/reports/incidents/2025/06/06/summary.pdf
REP003,MGR003,Camera,Camera Performance Report,Status and performance metrics for all cameras,2025-06-06 09:00:00,2025-06-05 00:00:00,2025-06-06 00:00:00,/reports/camera/2025/06/06/performance.pdf
REP004,MGR004,Route,Buea-Molyko Route Analysis,Detailed analysis of traffic on Buea-Molyko route,2025-06-06 11:00:00,2025-06-01 00:00:00,2025-06-06 00:00:00,/reports/routes/RT001/weekly.pdf
REP005,MGR005,Weather,Weather Impact Report,Impact of weather conditions on traffic flow,2025-06-06 10:30:00,2025-06-06 00:00:00,2025-06-06 10:00:00,/reports/weather/2025/06/06/impact.pdf
REP006,MGR006,Vehicle,Public Transport Efficiency,Analysis of public transport vehicle performance,2025-06-06 14:00:00,2025-06-01 00:00:00,2025-06-06 00:00:00,/reports/vehicles/weekly_efficiency.pdf
REP007,MGR007,Alert,Alert Effectiveness Report,Analysis of alert delivery and response rates,2025-06-06 13:00:00,2025-05-30 00:00:00,2025-06-06 00:00:00,/reports/alerts/weekly_effectiveness.pdf
REP008,MGR008,Maintenance,Camera Maintenance History,Summary of all camera maintenance activities,2025-06-06 09:30:00,2025-05-01 00:00:00,2025-06-06 00:00:00,/reports/maintenance/monthly_summary.pdf
REP009,MGR009,Congestion,Citywide Congestion Hotspots,Identification of recurring congestion hotspots,2025-06-06 15:00:00,2025-06-01 00:00:00,2025-06-06 00:00:00,/reports/congestion/weekly_hotspots.pdf
REP010,MGR010,User,Commuter Behavior Analysis,Analysis of commuter preferences and patterns,2025-06-06 16:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,/reports/users/monthly_behavior.pdf
REP011,MGR011,Daily Traffic,Afternoon Traffic Forecast,Predicted traffic conditions for afternoon commute,2025-06-06 12:30:00,2025-06-06 00:00:00,2025-06-06 12:00:00,/reports/daily/2025/06/06/afternoon_forecast.pdf
REP012,MGR012,Incident,Accident Trends Report,Analysis of accident trends over past month,2025-06-06 11:30:00,2025-05-06 00:00:00,2025-06-06 00:00:00,/reports/incidents/monthly_trends.pdf
REP013,MGR013,Camera,PTZ Camera Utilization,Usage patterns of PTZ cameras across network,2025-06-06 10:15:00,2025-05-30 00:00:00,2025-06-06 00:00:00,/reports/camera/weekly_ptz_usage.pdf
