traffic_id,camera_id,image_id,location_name,latitude,longitude,congestion_level,vehicle_count,average_speed,recorded_at,weather_condition
TRF001,CAM001,IMG001,Buea - Molyko Roundabout,4.156,9.29,High,60,18.5,2024-01-22 12:15:55,Clear
TRF002,CAM002,IMG002,Douala - Akwa Street,4.049,9.704,Medium,45,30.0,2024-06-20 21:42:39,Cloudy
TRF003,CAM003,IMG003,Yaounde - Nlongkak Junction,3.874,11.517,Low,20,40.0,2025-02-16 12:35:06,Rainy
TRF004,CAM004,IMG004,Buea - Mile 17 Motor Park,4.148,9.282,High,55,22.0,2025-04-17 19:07:11,Clear
TRF005,CAM005,IMG005,Douala - Bonaberi Bridge Exit,4.062,9.658,Medium,38,35.5,2025-05-18 19:37:25,Clear
TRF006,CAM006,IMG006,Yaounde - Melen Roundabout,3.87,11.49,Low,15,48.0,2024-04-20 21:11:27,Foggy
TRF007,CAM007,IMG007,Buea - University Gate,4.168,9.289,High,65,15.0,2024-05-14 22:35:09,Clear
TRF008,CAM008,IMG008,Douala - Deido Market,4.07,9.72,Medium,40,32.0,2024-02-29 08:34:06,Cloudy
TRF009,CAM009,IMG009,Yaounde - Warda Junction,3.86,11.505,Low,25,45.0,2024-12-02 03:50:10,Clear
TRF010,CAM010,IMG010,Buea - Great Soppo,4.159,9.28,High,58,20.0,2024-09-18 07:49:57,Clear
TRF011,CAM011,IMG011,Douala - Ndokoti Roundabout,4.03,9.715,Medium,50,28.5,2024-09-15 09:05:33,Rainy
TRF012,CAM012,IMG012,Yaounde - Omnisport Stadium,3.88,11.495,Low,18,50.0,2024-10-02 07:46:25,Clear
TRF013,CAM013,IMG013,Buea - Bokwoango,4.163,9.295,High,62,17.0,2024-11-22 00:10:55,Cloudy
TRF014,CAM014,IMG014,Douala - Grand Mall Area,4.02,9.68,Medium,42,33.0,2024-04-30 22:42:28,Clear
TRF015,CAM015,IMG015,Yaounde - Tsinga,3.85,11.53,Low,22,46.0,2025-05-14 02:11:02,Clear
TRF016,CAM016,IMG016,Buea - Clerks Quarters,4.155,9.285,High,57,19.0,2024-03-08 02:28:27,Clear
TRF017,CAM017,IMG017,Douala - Rond Point Deido,4.065,9.71,Medium,48,29.0,2024-01-23 12:04:31,Cloudy
TRF018,CAM018,IMG018,Yaounde - Essos,3.865,11.54,Low,19,43.0,2024-04-25 07:40:57,Rainy
TRF019,CAM019,IMG019,Buea - Small Soppo,4.162,9.278,High,61,16.0,2024-04-12 10:07:07,Clear
TRF020,CAM020,IMG020,Douala - Bassa Industrial Zone,4.015,9.74,Medium,35,36.0,2025-05-16 03:36:19,Clear
TRF021,CAM021,IMG021,Yaounde - Mfandena,3.885,11.525,Low,28,47.0,2024-03-20 13:41:29,Foggy
TRF022,CAM022,IMG022,Buea - Bomaka,4.17,9.285,High,59,21.0,2024-05-20 12:12:02,Clear
TRF023,CAM023,IMG023,Douala - Ndogpassi,4.045,9.735,Medium,39,31.0,2024-11-28 08:31:00,Cloudy
TRF024,CAM024,IMG024,Yaounde - Kondengui,3.84,11.55,Low,17,49.0,2024-08-07 03:25:34,Clear
TRF025,CAM025,IMG025,Buea - Bakweri Town,4.15,9.283,High,63,18.0,2024-02-08 13:45:36,Clear
TRF026,CAM026,IMG026,Douala - Cité des Palmiers,4.055,9.75,Medium,44,34.0,2024-05-05 23:49:19,Rainy
TRF027,CAM027,IMG027,Yaounde - Odza,3.82,11.58,Low,21,41.0,2024-11-20 15:50:09,Clear
TRF028,CAM028,IMG028,Buea - Bonduma,4.172,9.287,High,56,23.0,2024-09-09 18:01:28,Cloudy
TRF029,CAM029,IMG029,Douala - Japoma Stadium Road,3.95,9.78,Medium,37,30.5,2024-01-25 19:41:20,Clear
TRF030,CAM030,IMG030,Yaounde - Nkoabang,3.8,11.6,Low,16,52.0,2024-09-09 20:35:35,Foggy
TRF031,CAM031,IMG031,Buea - Wokoko,4.166,9.275,High,60,19.5,2025-02-02 03:43:33,Clear
TRF032,CAM032,IMG032,Douala - Bepanda Omni sport,4.035,9.695,Medium,46,29.5,2024-07-17 17:48:36,Cloudy
TRF033,CAM033,IMG033,Yaounde - Mendong,3.83,11.56,Low,24,44.0,2024-06-28 16:54:26,Rainy
